"Date","Open","High","Low","Close"
"07 Jun 2018","7496.25","7599.65","7488.65","7589.35"
"06 Jun 2018","7273.35","7443.4","7224","7428.55"
"05 Jun 2018","7448.3","7453.05","7251.75","7302.30"
"04 Jun 2018","7725.5","7730.2","7475","7487.10"
"01 Jun 2018","7834.1","7854.35","7689.9","7700.35"
"31 May 2018","7946.35","7954.5","7820.3","7829.65"
"30 May 2018","7873.95","7955.95","7861.2","7907.15"
"29 May 2018","7958.2","7999.7","7899.6","7929.80"
"28 May 2018","7850.8","7957.1","7840","7949.80"
"25 May 2018","7730.4","7823.55","7719.1","7814.50"
"24 May 2018","7740.85","7765.15","7660","7697.75"
"23 May 2018","7740.9","7810.8","7691.2","7699.00"
"22 May 2018","7632.9","7746.05","7605.2","7735.15"
"21 May 2018","7812.5","7827.15","7602.45","7622.55"
"18 May 2018","8018.8","8025.45","7799.65","7814.40"
"17 May 2018","7960.1","8021.7","7930.6","8000.95"
"16 May 2018","7862.2","7965.4","7825.2","7923.85"
"15 May 2018","7989","8101.75","7858.45","7904.80"
"14 May 2018","8112.85","8115.65","7972.3","7992.85"
"11 May 2018","8159.25","8172.15","8083.3","8099.45"
"10 May 2018","8294.4","8312.45","8117.9","8125.80"
"09 May 2018","8286.85","8323.9","8267.8","8274.20"
"08 May 2018","8277.3","8316.35","8250.35","8296.20"
"07 May 2018","8229","8249.25","8185.35","8245.55"
"04 May 2018","8210","8223.85","8158.6","8186.20"
"03 May 2018","8281.4","8284.85","8161.4","8214.35"
"02 May 2018","8418.9","8436.3","8242.25","8291.30"
"30 Apr 2018","8329.6","8393.2","8304.65","8389.85"
"27 Apr 2018","8279.8","8326.05","8271.7","8279.10"
"26 Apr 2018","8251.9","8261.2","8200.4","8238.25"
"25 Apr 2018","8296.95","8329.3","8218.1","8236.95"
"24 Apr 2018","8371","8392.05","8296.3","8303.40"
"23 Apr 2018","8318.4","8373.15","8300.45","8336.80"
"20 Apr 2018","8309.85","8325.7","8275.4","8321.50"
"19 Apr 2018","8272.8","8320.15","8228.7","8315.30"
"18 Apr 2018","8315.75","8319.95","8220.15","8240.70"
"17 Apr 2018","8288.9","8305.05","8240.05","8279.85"
"16 Apr 2018","8156.75","8258.25","8139.65","8251.35"
"13 Apr 2018","8193.75","8256","8168.9","8204.00"
"12 Apr 2018","8201.4","8224.75","8150.1","8167.85"
