Date,Open,High,Low,Close,change,lookback_mean,lookback_std
2002-09-20,975.6,975.6,960.7,969.6,-0.006608268019056332,-0.0005939110069912313,0.016360763694286486
2002-09-23,969.85,974.75,967.35,970.3,0.0007219471947194015,-0.0005919815961382832,0.01634882461895632
2002-09-24,969.95,969.95,960.2,966.2,-0.004225497268885818,-0.0005973015312374743,0.01633742587949831
2002-09-25,964.65,971.85,960.5,970.05,0.003984682260401479,-0.0005906027245245518,0.01632640148314996
2002-09-26,970.1,976.25,968.25,969.9,-0.00015463120457706023,-0.0005899662697509058,0.01631447111791484
2002-09-27,969.95,978.0,969.25,976.45,0.006753273533354025,-0.0005792618385510443,0.016304969041529154
2002-09-30,976.15,976.15,961.55,963.15,-0.01362076911260184,-0.0005982451096923119,0.016300676259983292
2002-10-01,961.15,964.2,950.3,955.2,-0.008254166017754173,-0.0006093729017098437,0.01629142315730756
2002-10-03,955.35,957.9,945.8,948.2,-0.007328308207705192,-0.0006191246220378486,0.016281591403750437
2002-10-04,948.1,951.8,944.5,948.2,0.0,-0.0006182273399769242,0.0162697888075433
2002-10-07,947.8,956.35,946.25,954.75,0.0069078253533009434,-0.0006073358020705886,0.016260515557812005
2002-10-08,954.8,963.15,952.5,960.8,0.006336737365802519,-0.0005973010142557431,0.016250889462549878
2002-10-09,960.85,968.75,952.95,954.75,-0.0062968359700249325,-0.0006055254514213553,0.01624058646748953
2002-10-10,954.8,960.45,945.0,958.45,0.003875360041895832,-0.0005990688440822815,0.016229755971712407
2002-10-11,958.45,973.5,958.45,971.05,0.013146225676874025,-0.0005792914418938552,0.01622643765711271
2002-10-14,971.5,976.5,969.0,972.45,0.0014417383244941981,-0.0005763876634938724,0.016214940723201364
2002-10-16,972.9,983.6,971.7,973.6,0.0011825800812380865,-0.0005738640368873703,0.01620342484884187
2002-10-17,973.7,976.05,966.55,973.3,-0.00030813475760072743,-0.0005734833359141802,0.016191800109861515
2002-10-18,973.8,982.5,968.8,971.65,-0.001695263536422457,-0.0005750881716802865,0.016180252873826177
2002-10-21,971.75,976.2,965.65,967.35,-0.00442546184325627,-0.0005805887054968237,0.016169329803283103
2002-10-22,967.5,976.35,961.65,962.5,-0.005013697214038376,-0.0005869126833977389,0.016158643666162893
2002-10-23,962.9,963.75,955.45,957.35,-0.005350649350649327,-0.0005936986330661884,0.016148115097009662
2002-10-24,957.7,959.8,945.0,946.9,-0.010915548127644064,-0.0006083812070271811,0.016141304693365225
2002-10-25,946.8,946.8,929.25,932.2,-0.01552434259161467,-0.0006295686521757428,0.016139613818513514
2002-10-28,932.35,934.9,920.1,922.7,-0.010190946148895087,-0.0006431308897597419,0.016132166554749278
2002-10-29,922.55,939.7,921.65,936.9,0.015389617427115998,-0.000620421614523374,0.01613200996312991
2002-10-30,936.15,944.35,935.9,937.75,0.0009072473049418537,-0.0006182608381167755,0.016120683361171593
2002-10-31,937.35,953.3,937.05,951.4,0.01455611836843506,-0.0005968280991244706,0.016119369846775315
2002-11-01,951.45,956.95,946.4,951.45,5.2554130754749014e-05,-0.000595912186247349,0.016108000550674413
2002-11-04,951.6,965.5,951.6,962.1,0.011193441589153374,-0.000579307462620024,0.01610271647337696
2002-11-05,962.85,963.7,957.2,962.3,0.00020787859889817253,-0.0005782003092282967,0.01609139961726267
2002-11-07,962.35,970.2,957.95,960.7,-0.0016626831549411921,-0.0005797234592925002,0.0160801309646017
2002-11-08,960.5,960.95,954.35,956.95,-0.0039034037680857705,-0.0005843850025025889,0.01606931685997991
2002-11-11,957.55,958.55,952.1,954.05,-0.0030304613616177344,-0.0005878108797562516,0.016058305025328106
2002-11-12,953.9,960.85,948.05,959.85,0.006079345946229305,-0.0005784861848947333,0.016048992747227403
2002-11-13,960.35,965.75,956.9,962.65,0.002917122467052096,-0.0005736040499059807,0.016038297797346848
2002-11-14,964.15,974.1,963.5,971.9,0.009608892120708461,-0.0005594025210766718,0.016031604650438663
2002-11-15,972.3,992.05,972.3,990.35,0.01898343450972327,-0.0005321840851006273,0.01603701399791561
2002-11-18,990.35,1000.3,989.05,996.85,0.006563336194274751,-0.0005223154894408563,0.016028026805315485
2002-11-20,996.85,1007.2,992.3,1001.6,0.00476500978080955,-0.0005149719821210641,0.016018088907652325
2002-11-21,1001.8,1012.75,1001.8,1008.7,0.007088658146964879,-0.0005044260318726786,0.01600946594352979
2002-11-22,1009.5,1026.0,1009.5,1020.1,0.011301675423812805,-0.00048807409079832195,0.016004392203694418
2002-11-25,1020.9,1030.35,1017.5,1026.2,0.005979805901382239,-0.0004791281986929546,0.015995113798722684
2002-11-26,1026.4,1040.45,1026.0,1036.1,0.009647242252971996,-0.0004651414991740804,0.01598847822476844
2002-11-27,1036.35,1042.2,1027.7,1031.1,-0.004825789016504199,-0.00047115618540488055,0.015978253401940704
2002-11-28,1031.25,1051.75,1031.25,1049.7,0.018038987489089456,-0.000445660119737533,0.015982001544379214
2002-11-29,1049.55,1057.45,1040.95,1050.1,0.0003810612555967072,-0.000444522951408325,0.015971020295528052
2002-12-02,1050.15,1070.15,1050.15,1067.9,0.01695076659365792,-0.0004206283229123549,0.015973048727217363
2002-12-03,1067.7,1075.75,1051.8,1055.0,-0.012079782751194016,-0.0004366216760375698,0.01596791438910835
2002-12-04,1055.75,1055.75,1034.1,1036.4,-0.017630331753554416,-0.00046017470354101753,0.01596964291689477
2002-12-05,1036.75,1052.45,1036.75,1045.9,0.009166345040524894,-0.00044700572988292465,0.015962672420544128
2002-12-06,1047.55,1072.25,1047.55,1069.8,0.02285113299550613,-0.00041517767151490686,0.01597497644002708
2002-12-09,1070.5,1085.75,1054.95,1058.6,-0.01046924658814736,-0.00042889400018698387,0.015968379487847226
2002-12-10,1058.35,1066.1,1045.65,1063.7,0.004817683733232701,-0.00042174607411965456,0.01595865830908987
