AMC,Scheme Name,Scheme,Scheme Type,Date,Date
,,,,min,max
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,2013-01-02,2022-10-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,2013-10-14,2022-10-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,2009-01-01,2022-10-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Credit Risk Fund - Direct - IDCW,Open Ended Schemes,Debt Scheme - Credit Risk Fund,2015-04-22,2022-10-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Bonus,Open Ended Schemes,Debt Scheme - Credit Risk Fund,2015-04-22,2022-10-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Growth,Open Ended Schemes,Debt Scheme - Credit Risk Fund,2015-04-22,2022-10-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Credit Risk Fund - Regular - IDCW,Open Ended Schemes,Debt Scheme - Credit Risk Fund,2015-04-22,2022-10-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Credit Risk Fund - Regular Plan - Bonus,Open Ended Schemes,Debt Scheme - Credit Risk Fund,2015-04-22,2022-10-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Credit Risk Fund - Regular Plan - Growth,Open Ended Schemes,Debt Scheme - Credit Risk Fund,2015-04-22,2022-10-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Credit Risk Fund- Segregated Portfolio 1- Direct Plan- Bonus,Open Ended Schemes,Debt Scheme - Credit Risk Fund,2019-11-25,2022-09-30
