Scheme Code,Scheme Name,startDate,endDate
100605,Sundaram Medium Term Bond Fund Institutional Plan- Quarterly Income Distribution cum Capital Withdrawal (IDCW),2009-01-01,2013-07-24
100606,Sundaram Medium Term Bond Fund Institutional Plan- Half Yearly Income Distribution cum Capital Withdrawal (IDCW),2009-01-01,2013-07-24
100607,Sundaram Medium Term Bond Fund Institutional Plan - Annual Income Distribution cum Capital Withdrawal (IDCW),2009-01-01,2013-07-24
100608,Sundaram Medium Term Bond Fund Institutional Plan - Growth,2009-01-01,2022-10-07
100609,Sundaram Medium Term Bond Fund Regular Plan- Half Yearly Income Distribution cum Capital Withdrawal (IDCW),2009-01-01,2022-10-07
100610,Sundaram Medium Term Bond Fund Regular Plan - Annual Income Distribution cum Capital Withdrawal (IDCW),2009-01-01,2022-10-07
100611,Sundaram Medium Term Bond Fund Institutional Plan - Bonus,2009-01-01,2015-12-08
100612,Sundaram Growth Fund-Dividend,2009-01-01,2016-09-16
100613,Sundaram Growth Fund-Growth,2009-01-01,2016-09-16
100614,Sundaram Diversified Equity (ELSS) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),2009-01-01,2022-10-07
100617,Sundaram Equity Hybrid Fund Regular Plan - Growth,2009-01-01,2021-12-31
100618,Sundaram Money Fund Retail Plan - Growth,2009-01-01,2021-12-31
100619,Sundaram Money Fund Retail Plan - Quarterly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),2009-01-01,2021-12-31
100620,Sundaram Money Fund Retail Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),2009-01-01,2021-12-31
100621,Sundaram Money Fund Retail Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),2009-01-01,2021-12-31
100622,Sundaram Money Fund Retail Plan - Fortnightly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),2009-01-01,2021-12-31
100623,Sundaram Money Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),2009-01-01,2021-12-31
100630,quant Active Fund-IDCW Option - Regular Plan,2009-01-01,2022-10-07
100631,quant Active Fund-GROWTH OPTION - Regular Plan,2009-01-01,2022-10-07
100638,SBI Magnum Income Fund - Regular Plan - Half Yearly - Income Distribution cum Capital Withdrawal Option (IDCW),2009-01-01,2022-10-07
100639,SBI Magnum Income Fund-REGULAR PLAN-Growth,2009-01-01,2022-10-07
100640,SBI Magnum Income Fund-REGULAR PLAN-Bonus,2009-01-01,2022-10-07
100641,SBI MAGNUM ULTRA SHORT DURATION FUND - REGULAR PLAN - GROWTH,2009-01-01,2022-10-07
100643,SBI Technology Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),2009-01-01,2022-10-07
100644,SBI Healthcare Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),2009-01-01,2022-10-07
100645,SBI Consumption Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),2009-01-01,2022-10-07
100646,UTI - Unit Linked Insurance Plan,2009-01-01,2022-10-07
100648,UTI - CRTS 81 - Dividend Option,2009-01-01,2018-05-02
100650,UTI Mastershare Unit Scheme - Regular Plan - IDCW,2009-01-01,2022-10-07
100651,UTI - Master Share-Growth Option,2009-01-01,2022-10-07
100656,UTI - Master Plus Unit Scheme-Growth Option,2009-01-01,2014-07-10
100657,UTI - Master Plus Unit Scheme-Income Option,2009-01-01,2014-07-10
100663,UTI Core Equity Fund - Regular Plan - IDCW,2009-01-01,2022-10-07
100664,UTI - Core Equity Fund - Regular Plan - Growth Option,2009-01-01,2022-10-07
100668,UTI Flexi Cap Fund - Regular Plan - IDCW,2009-01-01,2022-10-07
100669,UTI - Flexi Cap Fund-Growth Option,2009-01-01,2022-10-07
100676,Benchmark Derivative Fund - Growth Plan,2009-01-01,2011-08-18
100678,UTI CCF Saving Plan - Regular Plan,2009-01-01,2022-10-07
100682,UTI - Retirement Benefit Pension Fund - Regular Plan,2009-01-01,2022-10-07
100684,UTI - Hybrid Equity Fund - Regular Plan - Growth,2009-01-01,2022-10-07
100685,UTI Hybrid Equity Fund - Regular Plan - IDCW,2009-01-01,2022-10-07
100711,UTI - INDEX SELECT FUND-Income Option,2009-01-01,2009-05-20
100712,UTI - INDEX SELECT FUND-Growth Option,2009-01-01,2009-05-20
100715,DBS Chola Multi-Cap Fund-Dividend Option,2009-01-01,2010-02-15
100716,DBS Chola Multi-Cap Fund-Cumulative Option,2009-01-01,2010-02-15
100723,UTI MMF-Discontinued - Regular Plan -Growth,2009-01-01,2022-10-07
100724,UTI MMF- Discontinued - Regular Plan - Flexi Dividend Option,2009-01-01,2022-10-07
100725,UTI MMF- Discontinued - Regular Plan - Periodic Dividend Option,2009-01-01,2022-10-07
100739,UTI MNC Fund - Regular Plan - IDCW,2009-01-01,2022-10-07
100740,UTI - MNC Fund - Regular Plan - Growth Option,2009-01-01,2022-10-07
100741,UTI Bond Fund- Regular Plan - Growth,2009-01-01,2022-10-07
100742,UTI Bond Fund - Regular Plan - Quarterly IDCW,2009-01-01,2022-10-07
100748,UTI - Master Index Fund-Income Option,2009-01-01,2012-03-14
100749,UTI - Master Index Fund-Growth Option,2009-01-01,2012-03-14
100750,UTI - Master Value Fund-Income Option,2009-01-01,2014-03-26
100751,UTI - Master Value Fund-Growth Option,2009-01-01,2014-03-26
100780,Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),2009-01-01,2022-10-07
