Scheme Code,Scheme Name,Net Asset Value,Date,Duration Days
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.6174,2013-10-11,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.6268,2013-10-13,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.6315,2013-10-14,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.6362,2013-10-15,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.6409,2013-10-16,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.6457,2013-10-17,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.6495,2013-10-18,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.657,2013-10-20,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.6617,2013-10-21,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.6664,2013-10-22,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.6711,2013-10-23,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.6757,2013-10-24,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.6804,2013-10-25,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.6896,2013-10-27,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.6943,2013-10-28,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.6988,2013-10-29,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.7033,2013-10-30,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.7078,2013-10-31,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.4133,2013-09-01,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.4187,2013-09-02,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.4238,2013-09-03,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.4291,2013-09-04,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.4343,2013-09-05,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.4395,2013-09-06,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.4552,2013-09-09,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.4605,2013-09-10,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.4659,2013-09-11,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.4712,2013-09-12,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.4766,2013-09-13,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.4873,2013-09-15,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.4927,2013-09-16,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.4981,2013-09-17,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.5034,2013-09-18,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.5088,2013-09-19,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.5137,2013-09-20,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.5235,2013-09-22,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.5288,2013-09-23,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.5338,2013-09-24,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.5387,2013-09-25,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.5437,2013-09-26,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.5487,2013-09-27,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.5585,2013-09-29,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.5636,2013-09-30,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.377,2014-04-01,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.3818,2014-04-02,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.3862,2014-04-03,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.3902,2014-04-04,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.3981,2014-04-06,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.4025,2014-04-07,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.4069,2014-04-08,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.4112,2014-04-09,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.4156,2014-04-10,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.42,2014-04-11,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.4331,2014-04-14,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.4377,2014-04-15,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.4421,2014-04-16,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.4465,2014-04-17,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.4594,2014-04-20,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.4639,2014-04-21,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.4686,2014-04-22,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.4731,2014-04-23,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.4776,2014-04-24,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.4823,2014-04-25,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.4916,2014-04-27,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.4963,2014-04-28,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.501,2014-04-29,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.5058,2014-04-30,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.9252,2014-08-01,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,20.9339,2014-08-03,2
