,Date,Scheme Name
485,2022-03-27,HDFC Floating Rate Debt Fund - Direct Plan - Growth Option
490,2022-04-01,HDFC Floating Rate Debt Fund - Direct Plan - Growth Option
491,2022-04-02,HDFC Floating Rate Debt Fund - Direct Plan - Growth Option
492,2022-04-03,HDFC Floating Rate Debt Fund - Direct Plan - Growth Option
498,2022-04-09,HDFC Floating Rate Debt Fund - Direct Plan - Growth Option
499,2022-04-10,HDFC Floating Rate Debt Fund - Direct Plan - Growth Option
500,2022-01-01,HDFC Gilt Fund - Growth Option - Direct Plan
501,2022-01-02,HDFC Gilt Fund - Growth Option - Direct Plan
507,2022-01-08,HDFC Gilt Fund - Growth Option - Direct Plan
508,2022-01-09,HDFC Gilt Fund - Growth Option - Direct Plan
514,2022-01-15,HDFC Gilt Fund - Growth Option - Direct Plan
515,2022-01-16,HDFC Gilt Fund - Growth Option - Direct Plan
521,2022-01-22,HDFC Gilt Fund - Growth Option - Direct Plan
522,2022-01-23,HDFC Gilt Fund - Growth Option - Direct Plan
525,2022-01-26,HDFC Gilt Fund - Growth Option - Direct Plan
528,2022-01-29,HDFC Gilt Fund - Growth Option - Direct Plan
529,2022-01-30,HDFC Gilt Fund - Growth Option - Direct Plan
535,2022-02-05,HDFC Gilt Fund - Growth Option - Direct Plan
536,2022-02-06,HDFC Gilt Fund - Growth Option - Direct Plan
537,2022-02-07,HDFC Gilt Fund - Growth Option - Direct Plan
542,2022-02-12,HDFC Gilt Fund - Growth Option - Direct Plan
543,2022-02-13,HDFC Gilt Fund - Growth Option - Direct Plan
549,2022-02-19,HDFC Gilt Fund - Growth Option - Direct Plan
550,2022-02-20,HDFC Gilt Fund - Growth Option - Direct Plan
556,2022-02-26,HDFC Gilt Fund - Growth Option - Direct Plan
557,2022-02-27,HDFC Gilt Fund - Growth Option - Direct Plan
559,2022-03-01,HDFC Gilt Fund - Growth Option - Direct Plan
563,2022-03-05,HDFC Gilt Fund - Growth Option - Direct Plan
564,2022-03-06,HDFC Gilt Fund - Growth Option - Direct Plan
570,2022-03-12,HDFC Gilt Fund - Growth Option - Direct Plan
571,2022-03-13,HDFC Gilt Fund - Growth Option - Direct Plan
576,2022-03-18,HDFC Gilt Fund - Growth Option - Direct Plan
577,2022-03-19,HDFC Gilt Fund - Growth Option - Direct Plan
578,2022-03-20,HDFC Gilt Fund - Growth Option - Direct Plan
584,2022-03-26,HDFC Gilt Fund - Growth Option - Direct Plan
585,2022-03-27,HDFC Gilt Fund - Growth Option - Direct Plan
590,2022-04-01,HDFC Gilt Fund - Growth Option - Direct Plan
591,2022-04-02,HDFC Gilt Fund - Growth Option - Direct Plan
592,2022-04-03,HDFC Gilt Fund - Growth Option - Direct Plan
598,2022-04-09,HDFC Gilt Fund - Growth Option - Direct Plan
599,2022-04-10,HDFC Gilt Fund - Growth Option - Direct Plan
700,2022-01-01,HDFC Low Duration  Fund - Direct Plan - Growth
701,2022-01-02,HDFC Low Duration  Fund - Direct Plan - Growth
707,2022-01-08,HDFC Low Duration  Fund - Direct Plan - Growth
708,2022-01-09,HDFC Low Duration  Fund - Direct Plan - Growth
714,2022-01-15,HDFC Low Duration  Fund - Direct Plan - Growth
715,2022-01-16,HDFC Low Duration  Fund - Direct Plan - Growth
721,2022-01-22,HDFC Low Duration  Fund - Direct Plan - Growth
722,2022-01-23,HDFC Low Duration  Fund - Direct Plan - Growth
725,2022-01-26,HDFC Low Duration  Fund - Direct Plan - Growth
728,2022-01-29,HDFC Low Duration  Fund - Direct Plan - Growth
729,2022-01-30,HDFC Low Duration  Fund - Direct Plan - Growth
735,2022-02-05,HDFC Low Duration  Fund - Direct Plan - Growth
736,2022-02-06,HDFC Low Duration  Fund - Direct Plan - Growth
737,2022-02-07,HDFC Low Duration  Fund - Direct Plan - Growth
742,2022-02-12,HDFC Low Duration  Fund - Direct Plan - Growth
743,2022-02-13,HDFC Low Duration  Fund - Direct Plan - Growth
749,2022-02-19,HDFC Low Duration  Fund - Direct Plan - Growth
750,2022-02-20,HDFC Low Duration  Fund - Direct Plan - Growth
756,2022-02-26,HDFC Low Duration  Fund - Direct Plan - Growth
757,2022-02-27,HDFC Low Duration  Fund - Direct Plan - Growth
759,2022-03-01,HDFC Low Duration  Fund - Direct Plan - Growth
763,2022-03-05,HDFC Low Duration  Fund - Direct Plan - Growth
764,2022-03-06,HDFC Low Duration  Fund - Direct Plan - Growth
770,2022-03-12,HDFC Low Duration  Fund - Direct Plan - Growth
771,2022-03-13,HDFC Low Duration  Fund - Direct Plan - Growth
776,2022-03-18,HDFC Low Duration  Fund - Direct Plan - Growth
777,2022-03-19,HDFC Low Duration  Fund - Direct Plan - Growth
778,2022-03-20,HDFC Low Duration  Fund - Direct Plan - Growth
784,2022-03-26,HDFC Low Duration  Fund - Direct Plan - Growth
785,2022-03-27,HDFC Low Duration  Fund - Direct Plan - Growth
790,2022-04-01,HDFC Low Duration  Fund - Direct Plan - Growth
791,2022-04-02,HDFC Low Duration  Fund - Direct Plan - Growth
792,2022-04-03,HDFC Low Duration  Fund - Direct Plan - Growth
798,2022-04-09,HDFC Low Duration  Fund - Direct Plan - Growth
799,2022-04-10,HDFC Low Duration  Fund - Direct Plan - Growth
800,2022-01-01,HDFC Medium Term Debt Fund - Growth Option - Direct Plan
801,2022-01-02,HDFC Medium Term Debt Fund - Growth Option - Direct Plan
807,2022-01-08,HDFC Medium Term Debt Fund - Growth Option - Direct Plan
